epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,524.669,0.18711,0.9375,1,0.1873,0.00054928,0.00054928,0.00054928
2,1017.72,0.22345,0.94271,1,0.13412,0.00101379,0.00101379,0.00101379
3,1460.48,0.19835,0.95833,1,0.17309,0.00138661,0.00138661,0.00138661
4,1957.3,0.25288,0.96354,1,0.09385,0.00125442,0.00125442,0.00125442
5,2376.11,0.15929,0.96875,1,0.10786,0.00111689,0.00111689,0.00111689
6,2749.47,0.19672,0.96875,1,0.14275,0.000979362,0.000979362,0.000979362
7,3208.74,0.14052,0.96354,1,0.09808,0.000841835,0.000841835,0.000841835
8,3685.74,0.10553,0.97396,1,0.0932,0.000704307,0.000704307,0.000704307
9,4135.7,0.12217,0.97917,1,0.06837,0.00056678,0.00056678,0.00056678
10,4597.42,0.10591,0.98438,1,0.05518,0.000429253,0.000429253,0.000429253
11,5030.29,0.08804,0.98438,1,0.04213,0.000291725,0.000291725,0.000291725
12,5389.02,0.07097,0.98958,1,0.0413,0.000154198,0.000154198,0.000154198
