epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.888,2.26584,4.20316,1.64375,0.00197,0.16253,0.08789,0.04338,1.81047,4.45409,1.44518,0.00020006,0.00020006,0.00020006
2,648.687,1.50191,3.09461,1.1893,0.00429,0.42673,0.1936,0.09488,1.61637,3.97685,1.18728,0.000397999,0.000397999,0.000397999
3,969.813,1.47597,2.5797,1.13083,0.80423,0.02273,0.19189,0.0976,1.6282,3.71644,1.16253,0.000578962,0.000578962,0.000578962
4,1258.13,1.40642,2.0662,1.11374,0.82008,0.12611,0.31741,0.17489,1.57723,3.54393,1.22428,0.000742949,0.000742949,0.000742949
5,1593.49,1.36928,1.86542,1.10405,1,0.02813,0.42214,0.24557,1.50016,3.30705,1.14843,0.000889958,0.000889958,0.000889958
6,1913.71,1.36248,1.74589,1.12577,0.65437,0.41857,0.47012,0.26787,1.4984,2.71845,1.15354,0.00101999,0.00101999,0.00101999
7,2170.24,1.34279,1.63715,1.09997,0.8091,0.38964,0.59332,0.35129,1.46123,2.66299,1.13179,0.00108947,0.00108947,0.00108947
8,2390.95,1.27697,1.59739,1.09024,0.83237,0.49214,0.66789,0.39197,1.44073,2.31687,1.15147,0.00103288,0.00103288,0.00103288
9,2600.92,1.24173,1.42202,1.06653,0.75712,0.61533,0.70878,0.43491,1.44308,2.1942,1.13931,0.000976293,0.000976293,0.000976293
10,2809.94,1.24141,1.39334,1.06664,0.67104,0.71042,0.7421,0.46534,1.3249,1.84032,1.05938,0.000919704,0.000919704,0.000919704
11,3020.05,1.18561,1.29219,1.03578,0.65146,0.74288,0.71301,0.47018,1.27198,1.6315,1.06748,0.000863116,0.000863116,0.000863116
12,3224.55,1.16588,1.28636,1.04456,0.73469,0.7652,0.74078,0.46999,1.25163,1.51639,1.05599,0.000806528,0.000806528,0.000806528
13,3489.63,1.14498,1.21692,1.03053,0.79344,0.78862,0.80035,0.53205,1.25188,1.41129,1.04582,0.000749939,0.000749939,0.000749939
14,3699.22,1.17876,1.2498,1.0424,0.74141,0.78511,0.80511,0.52501,1.24359,1.51863,1.0466,0.000693351,0.000693351,0.000693351
15,3925.1,1.13398,1.19045,1.01756,0.82743,0.72275,0.79646,0.52442,1.22405,1.37601,1.03191,0.000636762,0.000636762,0.000636762
16,4194.3,1.11128,1.38261,1.02366,0.74491,0.82886,0.81588,0.54923,1.2019,1.39198,1.0271,0.000580174,0.000580174,0.000580174
17,4483.05,1.05223,1.28657,1.01661,0.78937,0.79208,0.80109,0.54814,1.1377,1.28639,1.02438,0.000523586,0.000523586,0.000523586
18,4795.03,1.04481,1.25748,1.02189,0.79468,0.81547,0.80877,0.57167,1.13735,1.2708,1.02149,0.000466997,0.000466997,0.000466997
19,5099.41,1.0286,1.19996,1.01326,0.82259,0.82127,0.81786,0.56631,1.11701,1.2282,1.00061,0.000410409,0.000410409,0.000410409
20,5374.47,0.98929,1.14483,0.9785,0.84377,0.86235,0.83562,0.55982,1.18873,1.24614,1.00526,0.00035382,0.00035382,0.00035382
21,5577.87,0.99214,1.12265,0.9938,0.82492,0.83211,0.8363,0.5533,1.18895,1.23758,1.01401,0.000297232,0.000297232,0.000297232
22,5823.55,0.99811,1.12734,1.00135,0.85282,0.83135,0.82291,0.56393,1.15517,1.19587,1.00178,0.000240644,0.000240644,0.000240644
23,6051.85,0.96725,1.07722,0.95512,0.88003,0.8449,0.83695,0.58045,1.12316,1.12748,0.98718,0.000184055,0.000184055,0.000184055
24,6372.3,0.95165,1.05335,0.95621,0.86387,0.85361,0.84744,0.59576,1.08901,1.13295,0.98175,0.000127467,0.000127467,0.000127467
25,6598.05,0.9475,1.04056,0.97767,0.84991,0.86767,0.84397,0.59808,1.08653,1.12257,0.98757,7.08784e-05,7.08784e-05,7.08784e-05
